GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
joblisting,com.telusko.joblisting,JoblistingApplication,5,27,0,0,2,9,1,3,1,3
joblisting,com.telusko.joblisting,mongoDbConnection,17,0,0,0,7,0,2,0,2,0
joblisting,com.telusko.joblisting.controller,PostController,19,3,0,0,5,1,4,1,4,1
joblisting,com.telusko.joblisting.repository,SearchRepositoryImpl,10,84,0,0,0,11,1,2,1,2
joblisting,com.telusko.joblisting.model,Post,14,28,0,0,3,13,2,8,2,8
