GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
joblisting,com.telusko.joblisting,JoblistingApplication,22,10,0,0,8,3,2,2,2,2
joblisting,com.telusko.joblisting,mongoDbConnection,17,0,0,0,7,0,2,0,2,0
joblisting,com.telusko.joblisting.controller,PostController,10,12,0,0,2,4,2,3,2,3
joblisting,com.telusko.joblisting.repository,SearchRepositoryImpl,94,0,0,0,11,0,3,0,3,0
joblisting,com.telusko.joblisting.model,Post,0,42,0,0,0,16,0,10,0,10
