GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
joblisting,com.telusko.joblisting,JoblistingApplication,32,0,0,0,11,0,4,0,4,0
joblisting,com.telusko.joblisting,mongoDbConnection,17,0,0,0,7,0,2,0,2,0
joblisting,com.telusko.joblisting.controller,PostController,22,0,0,0,6,0,5,0,5,0
joblisting,com.telusko.joblisting.repository,SearchRepositoryImpl,94,0,0,0,11,0,3,0,3,0
joblisting,com.telusko.joblisting.model,Post,11,31,0,0,2,14,1,9,1,9
